report_date,report_count,rolling_30_day_avg,anomaly_pct,anomaly_status,search_interests
2013-02-25,2,2.0,0.0,Normal,0
2014-03-13,1,1.0,0.0,Normal,0
2014-03-17,1,1.0,0.0,Normal,0
2014-03-19,1,1.0,0.0,Normal,0
2014-03-21,1,1.0,0.0,Normal,0
2014-03-27,1,1.0,0.0,Normal,0
2014-03-31,1,1.0,0.0,Normal,0
2014-04-02,1,1.0,0.0,Normal,0
2014-04-03,1,1.0,0.0,Normal,0
2014-04-04,1,1.0,0.0,Normal,0
2014-04-08,1,1.0,0.0,Normal,0
2014-04-09,1,1.0,0.0,Normal,0
2014-04-11,1,1.0,0.0,Normal,0
2014-04-15,2,1.08,85.19,Elevated,0
2014-04-20,1,1.1,-9.09,Normal,0
2014-04-21,1,1.09,-8.26,Normal,0
2014-04-23,1,1.08,-7.41,Normal,0
2014-04-25,2,1.15,73.91,Elevated,0
2014-04-28,2,1.23,62.6,Elevated,0
2014-05-05,3,1.5,100.0,Elevated,0
2014-05-07,1,1.45,-31.03,Normal,0
2014-05-10,110,12.4,787.1,Anomaly,0
2014-05-12,1,12.4,-91.94,Normal,0
2014-05-13,1,11.36,-91.2,Normal,0
2014-05-19,2,11.36,-82.39,Normal,0
2014-05-21,2,12.5,-84.0,Normal,0
2014-05-24,2,12.6,-84.13,Normal,0
2014-05-27,1,12.5,-92.0,Normal,0
2014-05-28,7,13.0,-46.15,Normal,0
2014-06-03,1,11.91,-91.6,Normal,0
2014-06-05,2,11.82,-83.08,Normal,0
2014-06-11,3,2.33,28.76,Normal,0
2014-06-12,1,2.33,-57.08,Normal,0
2014-06-13,1,2.2,-54.55,Normal,0
2014-06-19,1,2.1,-52.38,Normal,0
2014-06-20,2,2.1,-4.76,Normal,0
2014-06-24,1,2.0,-50.0,Normal,0
2014-06-27,1,1.44,-30.56,Normal,0
2014-07-03,1,1.44,-30.56,Normal,0
2014-07-04,1,1.4,-28.57,Normal,0
2014-07-07,1,1.3,-23.08,Normal,0
2014-07-16,2,1.25,60.0,Elevated,0
2014-07-17,2,1.33,50.38,Elevated,0
2014-07-23,1,1.25,-20.0,Normal,0
2014-07-24,1,1.25,-20.0,Normal,0
2014-07-25,1,1.22,-18.03,Normal,0
2014-07-31,1,1.22,-18.03,Normal,0
2014-08-01,2,1.3,53.85,Elevated,0
2014-08-05,2,1.44,38.89,Normal,0
2014-08-13,1,1.44,-30.56,Normal,0
2014-08-14,1,1.4,-28.57,Normal,0
2014-08-15,2,1.4,42.86,Normal,0
2014-08-21,1,1.3,-23.08,Normal,0
2014-08-25,3,1.63,84.05,Elevated,0
2014-08-28,1,1.56,-35.9,Normal,0
2014-08-29,1,1.5,-33.33,Normal,0
2014-09-02,1,1.44,-30.56,Normal,0
2014-09-04,1,1.33,-24.81,Normal,0
2014-09-08,4,1.6,150.0,Anomaly,0
2014-09-09,1,1.55,-35.48,Normal,0
2014-09-10,1,1.5,-33.33,Normal,0
2014-09-15,1,1.5,-33.33,Normal,0
2014-09-22,2,1.6,25.0,Normal,0
2014-09-23,1,1.55,-35.48,Normal,0
2014-09-24,1,1.36,-26.47,Normal,0
2014-09-25,1,1.33,-24.81,Normal,0
2014-09-26,1,1.31,-23.66,Normal,0
2014-09-29,4,1.58,153.16,Anomaly,0
2014-10-10,1,1.5,-33.33,Normal,0
2014-10-13,1,1.44,-30.56,Normal,0
2014-10-14,1,1.4,-28.57,Normal,0
2014-10-23,2,1.5,33.33,Normal,0
2014-10-24,2,1.63,22.7,Normal,0
2014-10-27,1,1.71,-41.52,Normal,0
2014-10-28,1,1.63,-38.65,Normal,0
2014-10-29,1,1.25,-20.0,Normal,0
2014-10-31,1,1.22,-18.03,Normal,0
2014-11-03,1,1.2,-16.67,Normal,0
2014-11-06,1,1.18,-15.25,Normal,0
2014-11-07,2,1.25,60.0,Elevated,0
2014-11-12,4,1.55,158.06,Anomaly,0
2014-11-17,2,1.64,21.95,Normal,0
2014-11-18,2,1.67,19.76,Normal,0
2014-11-24,1,1.55,-35.48,Normal,0
2014-11-26,3,1.73,73.41,Elevated,0
2014-11-27,1,1.73,-42.2,Normal,0
2014-12-01,2,1.9,5.26,Normal,0
2014-12-04,1,1.9,-47.37,Normal,0
2014-12-05,42,5.55,656.76,Anomaly,0
2014-12-10,3,6.1,-50.82,Normal,0
2014-12-11,1,5.64,-82.27,Normal,0
2014-12-12,1,5.36,-81.34,Normal,0
2014-12-15,4,5.25,-23.81,Normal,0
2014-12-17,2,5.25,-61.9,Normal,0
2014-12-18,1,5.17,-80.66,Normal,0
2014-12-19,1,4.85,-79.38,Normal,0
2014-12-22,4,4.79,-16.49,Normal,0
2014-12-23,2,4.6,-56.52,Normal,0
2015-01-02,1,5.25,-80.95,Normal,0
2015-01-03,3,5.42,-44.65,Normal,0
2015-01-06,8,2.58,210.08,Anomaly,0
2015-01-07,8,3.0,166.67,Anomaly,0
2015-01-08,1,2.86,-65.03,Normal,0
2015-01-09,2,2.79,-28.32,Normal,0
2015-01-12,2,3.0,-33.33,Normal,0
2015-01-13,3,3.0,0.0,Normal,0
2015-01-14,2,2.86,-30.07,Normal,0
2015-01-15,1,2.73,-63.37,Normal,0
2015-01-16,2,2.73,-26.74,Normal,0
2015-01-19,1,2.86,-65.03,Normal,0
2015-01-20,4,2.93,36.52,Normal,0
2015-01-21,6,3.07,95.44,Elevated,0
2015-01-22,3,3.13,-4.15,Normal,0
2015-01-23,4,3.19,25.39,Normal,0
2015-01-26,1,3.06,-67.32,Normal,0
2015-01-27,5,3.17,57.73,Elevated,0
2015-01-28,2,3.11,-35.69,Normal,0
2015-01-29,1,3.0,-66.67,Normal,0
2015-01-30,2,2.95,-32.2,Normal,0
2015-02-02,2,3.0,-33.33,Normal,0
2015-02-03,3,3.0,0.0,Normal,0
2015-02-05,1,2.67,-62.55,Normal,0
2015-02-06,6,2.57,133.46,Anomaly,0
2015-02-09,3,2.7,11.11,Normal,0
2015-02-10,1,2.62,-61.83,Normal,0
2015-02-11,1,2.57,-61.09,Normal,0
2015-02-12,3,2.57,16.73,Normal,0
2015-02-13,1,2.52,-60.32,Normal,0
2015-02-16,3,2.65,13.21,Normal,0
2015-02-17,2,2.62,-23.66,Normal,0
2015-02-18,3,2.71,10.7,Normal,0
2015-02-19,1,2.57,-61.09,Normal,0
2015-02-20,2,2.38,-15.97,Normal,0
2015-02-23,3,2.3,30.43,Normal,0
2015-02-24,1,2.24,-55.36,Normal,0
2015-02-25,2,2.29,-12.66,Normal,0
2015-02-26,2,2.14,-6.54,Normal,0
2015-02-27,3,2.19,36.99,Normal,0
2015-03-02,2,2.25,-11.11,Normal,0
2015-03-03,3,2.29,31.0,Normal,0
2015-03-04,4,2.38,68.07,Elevated,0
2015-03-05,2,2.33,-14.16,Normal,0
2015-03-06,5,2.45,104.08,Anomaly,0
2015-03-09,2,2.33,-14.16,Normal,0
2015-03-10,2,2.32,-13.79,Normal,0
2015-03-11,4,2.36,69.49,Elevated,0
2015-03-12,1,2.36,-57.63,Normal,0
2015-03-13,4,2.5,60.0,Elevated,0
2015-03-15,1,2.48,-59.68,Normal,0
2015-03-16,1,2.41,-58.51,Normal,0
2015-03-17,4,2.48,61.29,Elevated,0
2015-03-18,4,2.52,58.73,Elevated,0
2015-03-19,7,2.74,155.47,Anomaly,0
2015-03-20,7,2.91,140.55,Anomaly,0
2015-03-22,9,3.32,171.08,Anomaly,0
2015-03-23,4,3.35,19.4,Normal,0
2015-03-24,2,3.29,-39.21,Normal,0
2015-03-26,2,3.35,-40.3,Normal,0
2015-03-27,3,3.39,-11.5,Normal,0
2015-03-30,1,3.36,-70.24,Normal,0
2015-03-31,4,3.39,17.99,Normal,0
2015-04-01,1,3.35,-70.15,Normal,0
2015-04-02,1,3.26,-69.33,Normal,0
2015-04-03,1,3.13,-68.05,Normal,0
2015-04-06,2,3.05,-34.43,Normal,0
2015-04-07,1,2.96,-66.22,Normal,0
2015-04-08,3,3.0,0.0,Normal,0
2015-04-09,7,3.22,117.39,Anomaly,0
2015-04-10,5,3.26,53.37,Elevated,0
2015-04-13,6,3.45,73.91,Elevated,0
2015-04-14,4,3.59,11.42,Normal,0
2015-04-15,2,3.64,-45.05,Normal,0
2015-04-16,3,3.59,-16.43,Normal,0
2015-04-17,1,3.45,-71.01,Normal,0
2015-04-20,3,3.1,-3.23,Normal,0
2015-04-21,2,2.76,-27.54,Normal,0
2015-04-22,1,2.62,-61.83,Normal,0
2015-04-23,2,2.62,-23.66,Normal,0
2015-04-24,2,2.59,-22.78,Normal,0
2015-04-27,2,2.57,-22.18,Normal,0
2015-04-28,5,2.68,86.57,Elevated,0
2015-04-29,6,2.91,106.19,Anomaly,0
2015-04-30,2,2.82,-29.08,Normal,0
2015-05-05,3,3.1,-3.23,Normal,0
2015-05-06,5,3.25,53.85,Elevated,0
2015-05-09,1,3.06,-67.32,Normal,0
2015-05-11,1,2.83,-64.66,Normal,0
2015-05-12,2,2.79,-28.32,Normal,0
2015-05-13,3,2.63,14.07,Normal,0
2015-05-14,4,2.63,52.09,Elevated,0
2015-05-15,1,2.58,-61.24,Normal,0
2015-05-18,4,2.72,47.06,Normal,0
2015-05-19,3,2.74,9.49,Normal,0
2015-05-20,1,2.63,-61.98,Normal,0
2015-05-21,2,2.63,-23.95,Normal,0
2015-05-22,3,2.74,9.49,Normal,0
2015-05-24,1,2.72,-63.24,Normal,0
2015-05-26,3,2.74,9.49,Normal,0
2015-05-27,3,2.79,7.53,Normal,0
2015-05-28,2,2.63,-23.95,Normal,0
2015-05-29,1,2.37,-57.81,Normal,0
2015-06-01,7,2.63,166.16,Anomaly,0
2015-06-02,1,2.55,-60.78,Normal,0
2015-06-03,2,2.52,-20.63,Normal,0
2015-06-04,5,2.62,90.84,Elevated,0
2015-06-05,4,2.57,55.64,Elevated,0
2015-06-07,1,2.5,-60.0,Normal,0
2015-06-08,2,2.55,-21.57,Normal,0
2015-06-09,3,2.57,16.73,Normal,0
2015-06-10,4,2.7,48.15,Normal,0
2015-06-11,5,2.83,76.68,Elevated,0
2015-06-12,4,2.87,39.37,Normal,0
2015-06-14,2,2.86,-30.07,Normal,0
2015-06-15,6,3.0,100.0,Elevated,0
2015-06-16,4,3.04,31.58,Normal,0
2015-06-17,3,3.0,0.0,Normal,0
2015-06-18,1,2.92,-65.75,Normal,0
2015-06-19,5,3.08,62.34,Elevated,0
2015-06-22,2,3.09,-35.28,Normal,0
2015-06-24,1,3.09,-67.64,Normal,0
2015-06-25,5,3.17,57.73,Elevated,0
2015-06-26,2,3.13,-36.1,Normal,0
2015-06-29,2,3.23,-38.08,Normal,0
2015-06-30,1,3.13,-68.05,Normal,0
2015-07-01,2,2.91,-31.27,Normal,0
2015-07-02,2,2.96,-32.43,Normal,0
2015-07-03,1,2.91,-65.64,Normal,0
2015-07-06,1,2.68,-62.69,Normal,0
2015-07-07,1,2.68,-62.69,Normal,0
2015-07-09,3,2.71,10.7,Normal,0
2015-07-10,3,2.67,12.36,Normal,0
2015-07-13,1,2.4,-58.33,Normal,0
2015-07-14,3,2.45,22.45,Normal,0
2015-07-15,3,2.3,30.43,Normal,0
2015-07-16,4,2.3,73.91,Elevated,0
2015-07-17,6,2.45,144.9,Anomaly,0
2015-07-20,4,2.47,61.94,Elevated,0
2015-07-21,3,2.5,20.0,Normal,0
2015-07-22,6,2.7,122.22,Anomaly,0
2015-07-23,3,2.71,10.7,Normal,0
2015-07-24,3,2.81,6.76,Normal,0
2015-07-27,2,2.7,-25.93,Normal,0
2015-07-28,6,2.86,109.79,Anomaly,0
2015-07-29,3,2.9,3.45,Normal,0
2015-07-30,1,2.9,-65.52,Normal,0
2015-07-31,2,2.9,-31.03,Normal,0
2015-08-03,2,3.0,-33.33,Normal,0
2015-08-04,2,2.95,-32.2,Normal,0
2015-08-05,2,3.0,-33.33,Normal,0
2015-08-06,6,3.24,85.19,Elevated,0
2015-08-07,2,3.18,-37.11,Normal,0
2015-08-10,1,3.1,-67.74,Normal,0
2015-08-11,4,3.14,27.39,Normal,0
2015-08-12,2,3.18,-37.11,Normal,0
2015-08-13,6,3.32,80.72,Elevated,0
2015-08-14,2,3.27,-38.84,Normal,0
2015-08-16,1,3.0,-66.67,Normal,0
2015-08-17,3,3.0,0.0,Normal,0
2015-08-18,1,2.91,-65.64,Normal,0
2015-08-19,2,2.83,-29.33,Normal,0
2015-08-20,2,2.78,-28.06,Normal,0
2015-08-21,221,12.13,1721.93,Anomaly,0
2015-08-23,1,12.45,-91.97,Normal,0
2015-08-25,1,11.96,-91.64,Normal,0
2015-08-26,1,11.91,-91.6,Normal,0
2015-08-27,2,11.74,-82.96,Normal,0
2015-08-28,3,11.74,-74.45,Normal,0
2015-08-31,3,12.27,-75.55,Normal,0
2015-09-01,2,11.83,-83.09,Normal,0
2015-09-02,2,11.83,-83.09,Normal,0
2015-09-03,6,12.0,-50.0,Normal,0
2015-09-04,2,12.0,-83.33,Normal,0
2015-09-08,3,12.32,-75.65,Normal,0
2015-09-09,3,12.41,-75.83,Normal,0
2015-09-10,3,12.36,-75.73,Normal,0
2015-09-11,2,12.36,-83.82,Normal,0
2015-09-14,4,12.76,-68.65,Normal,0
2015-09-15,2,12.81,-84.39,Normal,0
2015-09-16,3,12.81,-76.58,Normal,0
2015-09-17,1,12.81,-92.19,Normal,0
2015-09-18,1,12.76,-92.16,Normal,0
2015-09-21,3,2.4,25.0,Normal,0
2015-09-22,7,2.7,159.26,Anomaly,0
2015-09-23,1,2.62,-61.83,Normal,0
2015-09-24,1,2.62,-61.83,Normal,0
2015-09-25,1,2.62,-61.83,Normal,0
2015-09-28,5,2.75,81.82,Elevated,0
2015-09-29,3,2.76,8.7,Normal,0
2015-10-01,1,2.7,-62.96,Normal,0
