report_month,report_count,prev_report_count,growth_rate
2021-01,280,,
2021-02,51,280,-81.79
2021-03,257,51,403.92
2021-04,65,257,-74.71
2021-05,62,65,-4.62
2021-06,60,62,-3.23
2021-07,322,60,436.67
2021-08,71,322,-77.95
2021-09,230,71,223.94
2021-10,72,230,-68.7
2021-11,117,72,62.5
2021-12,415,117,254.7
2022-01,336,415,-19.04
2022-02,305,336,-9.23
2022-03,551,305,80.66
2022-04,95,551,-82.76
2022-05,102,95,7.37
2022-06,704,102,590.2
2022-07,466,704,-33.81
2022-08,481,466,3.22
2022-09,866,481,80.04
2022-10,1430,866,65.13
2022-11,1422,1430,-0.56
2022-12,1048,1422,-26.3
2023-01,524,1048,-50.0
2023-02,127,524,-75.76
2023-03,154,127,21.26
2023-04,121,154,-21.43
2023-05,108,121,-10.74
2023-06,135,108,25.0
2023-07,852,135,531.11
2023-08,144,852,-83.1
2023-09,160,144,11.11
2023-10,143,160,-10.63
2023-11,118,143,-17.48
2023-12,145,118,22.88
2024-01,1419,145,878.62
2024-02,731,1419,-48.48
2024-03,887,731,21.34
2024-04,1015,887,14.43
2024-05,909,1015,-10.44
2024-06,963,909,5.94
2024-07,1488,963,54.52
2024-08,230,1488,-84.54
2024-09,120,230,-47.83
2024-10,128,120,6.67
2024-11,88,128,-31.25
2024-12,98,88,11.36
2025-01,36,98,-63.27
